,Unnamed: 0,Date,Open,High,Low,Close,Day Diff,EMA5,BB,Trend,Rate %,N,Unit,Capital,Risk %
29,26,20170314,1206.8,1210.7,1200.2,1205.8,10.5,10.7,False,4.9,0.467,9.5,3.0,170000,0.02
30,25,20170315,1202.1,1225.0,1200.0,1203.8,25.0,10.7,True,3.8,0.152,9.3,3.0,170000,0.02
31,24,20170316,1222.4,1236.9,1221.3,1230.2,15.6,15.4,True,8.9,0.571,14.1,2.0,170000,0.02
32,23,20170317,1229.3,1234.4,1227.3,1233.2,7.1,15.5,True,5.9,0.831,13.6,2.0,170000,0.02
33,22,20170320,1232.6,1238.3,1232.0,1237.2,6.3,12.7,True,5.2,0.825,11.2,3.0,170000,0.02
34,21,20170321,1237.0,1250.9,1229.9,1249.6,21.0,10.6,True,19.7,0.938,12.4,2.0,170000,0.02
35,20,20170322,1247.7,1254.6,1246.9,1252.8,7.7,14.0,True,5.9,0.766,12.4,2.0,170000,0.02
36,19,20170323,1251.5,1256.4,1245.6,1250.1,10.8,11.9,False,6.3,0.583,10.8,3.0,170000,0.02
37,18,20170324,1248.2,1255.0,1243.7,1251.7,11.3,11.6,True,8.0,0.708,10.9,3.0,170000,0.02
38,17,20170327,1247.2,1264.2,1247.2,1258.8,17.0,11.5,True,11.6,0.682,11.5,2.0,170000,0.02
39,16,20170328,1257.1,1261.4,1250.5,1258.8,10.9,13.3,True,8.3,0.761,12.3,2.0,170000,0.02
40,15,20170329,1253.0,1257.5,1250.0,1256.8,7.5,12.5,True,6.8,0.907,11.4,2.0,170000,0.02
41,14,20170330,1256.1,1256.5,1244.2,1248.0,12.3,10.8,False,8.5,0.691,10.3,3.0,170000,0.02
42,13,20170331,1244.6,1252.8,1241.5,1251.2,11.3,11.3,True,9.7,0.858,11.0,3.0,170000,0.02
43,12,20170403,1251.9,1255.9,1246.4,1254.0,9.5,11.3,True,7.6,0.8,10.6,3.0,170000,0.02
44,11,20170404,1255.5,1263.7,1255.5,1258.4,8.2,10.7,True,2.9,0.354,9.1,3.0,170000,0.02
45,10,20170405,1258.2,1259.3,1245.4,1248.5,13.9,9.9,False,10.8,0.777,10.1,3.0,170000,0.02
46,9,20170406,1257.6,1260.9,1251.3,1253.3,9.6,11.2,False,7.6,0.792,10.5,3.0,170000,0.02
47,8,20170407,1253.9,1273.3,1252.4,1257.3,20.9,10.7,True,4.9,0.234,9.5,3.0,170000,0.02
48,7,20170410,1255.6,1258.9,1248.2,1253.9,10.7,14.1,False,5.0,0.467,12.3,2.0,170000,0.02
49,6,20170411,1256.8,1277.4,1254.7,1274.2,22.7,13.0,True,19.5,0.859,14.3,2.0,170000,0.02
50,5,20170412,1277.2,1289.0,1273.8,1278.1,15.2,16.2,True,4.3,0.283,13.8,2.0,170000,0.02
51,4,20170413,1288.3,1290.7,1283.8,1288.5,6.9,15.9,True,4.7,0.681,13.7,2.0,170000,0.02
52,3,20170417,1292.4,1297.4,1283.1,1291.9,14.3,12.9,False,5.5,0.385,11.4,2.0,170000,0.02
53,2,20170418,1286.7,1294.4,1280.6,1294.1,13.8,13.4,True,13.5,0.978,13.4,2.0,170000,0.02
54,1,20170419,1291.7,1292.7,1275.4,1283.4,17.3,13.5,False,9.3,0.538,12.7,2.0,170000,0.02
55,0,20170420,1282.2,1285.2,1278.0,1283.8,7.2,14.8,True,5.8,0.806,13.0,2.0,170000,0.02
